date,TICKER,Cleaned_Price,Cleaned_Return
2015-12-14,MSFT,55.14,0.019977802
2015-12-15,MSFT,55.2,0.001088139
2015-12-16,MSFT,56.13,0.016847826
2015-12-17,MSFT,55.7,-0.007660787
2015-12-18,MSFT,54.13,-0.028186715
2015-12-21,MSFT,54.83,0.012931831
2015-12-22,MSFT,55.35,0.009483859
2015-12-23,MSFT,55.82,0.008491418
2015-12-24,MSFT,55.67,-0.002687209
2015-12-28,MSFT,55.95,0.005029639
2015-12-29,MSFT,56.55,0.010723861
2015-12-30,MSFT,56.31,-0.004244032
2015-12-31,MSFT,55.48,-0.014739833
2016-01-04,MSFT,54.8,-0.012256669
2016-01-05,MSFT,55.05,0.004562044
2016-01-06,MSFT,54.05,-0.018165304
2016-01-07,MSFT,52.17,-0.034782609
2016-01-08,MSFT,52.33,0.003066897
2016-01-11,MSFT,52.3,-0.000573285
2016-01-12,MSFT,52.78,0.00917782
2016-01-13,MSFT,51.64,-0.021599091
2016-01-14,MSFT,53.11,0.028466305
2016-01-15,MSFT,50.99,-0.039917153
2016-01-19,MSFT,50.56,-0.008433026
2016-01-20,MSFT,50.79,0.004549051
2016-01-21,MSFT,50.48,-0.006103564
2016-01-22,MSFT,52.29,0.035855784
2016-01-25,MSFT,51.79,-0.009562058
2016-01-26,MSFT,52.17,0.007337324
2016-01-27,MSFT,51.22,-0.018209699
2016-01-28,MSFT,52.055,0.016302226
2016-01-29,MSFT,55.09,0.058303717
2016-02-01,MSFT,54.71,-0.006897804
2016-02-02,MSFT,53,-0.031255712
2016-02-03,MSFT,52.16,-0.015849057
2016-02-04,MSFT,52,-0.003067485
2016-02-05,MSFT,50.16,-0.035384615
2016-02-08,MSFT,49.41,-0.014952153
2016-02-09,MSFT,49.28,-0.002631046
2016-02-10,MSFT,49.71,0.008725649
2016-02-11,MSFT,49.69,-0.000402334
2016-02-12,MSFT,50.5,0.016301067
2016-02-16,MSFT,51.09,0.011683168
2016-02-17,MSFT,52.42,0.026032492
2016-02-18,MSFT,52.19,-0.004387638
2016-02-19,MSFT,51.82,-0.007089481
2016-02-22,MSFT,52.65,0.016016982
2016-02-23,MSFT,51.18,-0.027920228
2016-02-24,MSFT,51.36,0.003516999
2016-02-25,MSFT,52.1,0.0144081
2016-02-26,MSFT,51.3,-0.015355086
2016-02-29,MSFT,50.88,-0.008187135
2016-03-01,MSFT,52.58,0.03341195
2016-03-02,MSFT,52.95,0.007036896
2016-03-03,MSFT,52.35,-0.011331445
2016-03-04,MSFT,52.03,-0.006112703
2016-03-07,MSFT,51.03,-0.019219681
2016-03-08,MSFT,51.65,0.012149716
2016-03-09,MSFT,52.84,0.02303969
2016-03-10,MSFT,52.05,-0.014950795
2016-03-11,MSFT,53.07,0.019596542
2016-03-14,MSFT,53.17,0.001884304
2016-03-15,MSFT,53.59,0.007899191
2016-03-16,MSFT,54.35,0.01418175
2016-03-17,MSFT,54.66,0.005703772
2016-03-18,MSFT,53.49,-0.021405049
2016-03-21,MSFT,53.86,0.006917181
2016-03-22,MSFT,54.07,0.003898997
2016-03-23,MSFT,53.97,-0.001849454
2016-03-24,MSFT,54.21,0.004446915
2016-03-28,MSFT,53.54,-0.012359343
2016-03-29,MSFT,54.71,0.02185282
2016-03-30,MSFT,55.05,0.006214586
2016-03-31,MSFT,55.23,0.003269755
2016-04-01,MSFT,55.57,0.006156075
2016-04-04,MSFT,55.43,-0.002519345
2016-04-05,MSFT,54.56,-0.015695472
2016-04-06,MSFT,55.12,0.01026393
2016-04-07,MSFT,54.46,-0.011973875
2016-04-08,MSFT,54.42,-0.000734484
2016-04-11,MSFT,54.31,-0.002021316
2016-04-12,MSFT,54.65,0.006260357
2016-04-13,MSFT,55.35,0.012808783
2016-04-14,MSFT,55.36,0.000180668
2016-04-15,MSFT,55.65,0.005238439
2016-04-18,MSFT,56.46,0.014555256
2016-04-19,MSFT,56.39,-0.001239816
2016-04-20,MSFT,55.59,-0.014186913
2016-04-21,MSFT,55.78,0.003417881
